epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1506.06,1.2065,1.38844,0.86359,0.99784,1,0.995,0.70992,0.97064,1.07592,0.88894,0.0007064,0.0007064,0.0007064
100,1520.59,1.10732,1.30336,0.82291,0.99749,1,0.995,0.71503,0.97376,1.10329,0.88736,0.0006932,0.0006932,0.0006932
101,1535.34,1.20202,1.18112,0.84846,0.99749,1,0.995,0.71503,0.97376,1.10329,0.88736,0.00068,0.00068,0.00068
102,1550.4,1.13083,1.20786,0.78978,0.99808,1,0.995,0.72162,0.93552,1.05111,0.8855,0.0006668,0.0006668,0.0006668
103,1565.03,1.09,1.1516,0.83651,0.99816,1,0.995,0.72347,0.9228,1.01191,0.88377,0.0006536,0.0006536,0.0006536
104,1579.33,1.02375,1.11416,0.82088,0.99795,1,0.995,0.71544,0.90737,0.99729,0.88004,0.0006404,0.0006404,0.0006404
105,1593.36,1.10691,1.08978,0.86275,0.99795,1,0.995,0.71544,0.90737,0.99729,0.88004,0.0006272,0.0006272,0.0006272
106,1608.18,1.24875,1.12825,0.85322,0.99732,1,0.995,0.71676,0.9106,0.99879,0.87647,0.000614,0.000614,0.000614
107,1623.05,1.10057,1.01344,0.82068,0.9983,1,0.995,0.74004,0.89276,1.01264,0.87171,0.0006008,0.0006008,0.0006008
108,1637.46,0.98548,1.10828,0.85201,0.99971,1,0.995,0.75876,0.85368,0.99708,0.87057,0.0005876,0.0005876,0.0005876
109,1651.61,1.10255,1.10323,0.84686,0.99971,1,0.995,0.75876,0.85368,0.99708,0.87057,0.0005744,0.0005744,0.0005744
110,1666.62,1.1612,1.18836,0.83853,0.99973,1,0.995,0.77303,0.81762,0.94803,0.87287,0.0005612,0.0005612,0.0005612
111,1681.64,1.00624,1.21024,0.83274,0.99839,1,0.995,0.76162,0.84578,0.95495,0.87433,0.000548,0.000548,0.000548
112,1696.44,1.1772,1.12616,0.85218,0.99699,1,0.995,0.76353,0.84648,0.95203,0.87286,0.0005348,0.0005348,0.0005348
113,1711.09,1.08698,1.20088,0.84183,0.99699,1,0.995,0.76353,0.84648,0.95203,0.87286,0.0005216,0.0005216,0.0005216
114,1726.02,1.10477,1.20477,0.79118,0.99601,1,0.995,0.75859,0.82722,0.90916,0.87212,0.0005084,0.0005084,0.0005084
115,1740.7,1.03545,1.10392,0.78426,0.99606,1,0.995,0.75403,0.82993,0.91296,0.87198,0.0004952,0.0004952,0.0004952
116,1756.86,1.00948,0.98801,0.83019,0.9976,1,0.995,0.74024,0.81635,0.93097,0.86891,0.000482,0.000482,0.000482
117,1771.83,0.95586,1.15077,0.80569,0.9976,1,0.995,0.74024,0.81635,0.93097,0.86891,0.0004688,0.0004688,0.0004688
118,1787.03,1.03726,1.02892,0.87769,0.99917,1,0.995,0.72752,0.82473,0.94685,0.86883,0.0004556,0.0004556,0.0004556
119,1802.17,1.07918,1.04046,0.84248,1,0.99684,0.995,0.71132,0.88499,0.9177,0.87799,0.0004424,0.0004424,0.0004424
120,1817.17,1.15238,1.06814,0.84511,1,0.99537,0.995,0.7159,0.92695,0.92249,0.88071,0.0004292,0.0004292,0.0004292
121,1832.48,1.0146,0.97989,0.81898,1,0.99537,0.995,0.7159,0.92695,0.92249,0.88071,0.000416,0.000416,0.000416
122,1847.22,1.16629,1.16869,0.82415,1,0.99888,0.995,0.71598,0.90581,0.93904,0.87812,0.0004028,0.0004028,0.0004028
123,1861.96,1.06956,1.04876,0.81715,0.99868,1,0.995,0.72142,0.85498,0.91132,0.87469,0.0003896,0.0003896,0.0003896
124,1877.57,1.07384,1.11475,0.81505,0.9962,1,0.995,0.74593,0.81384,0.87226,0.87259,0.0003764,0.0003764,0.0003764
125,1892.75,0.943,1.1079,0.79035,0.9962,1,0.995,0.74593,0.81384,0.87226,0.87259,0.0003632,0.0003632,0.0003632
126,1907.6,1.03178,0.99689,0.83989,0.99648,1,0.995,0.73772,0.78897,0.85794,0.87205,0.00035,0.00035,0.00035
127,1922.68,0.97672,0.95748,0.80827,0.99805,1,0.995,0.75292,0.75786,0.84587,0.87045,0.0003368,0.0003368,0.0003368
128,1937.73,1.07541,1.05877,0.84908,0.99975,1,0.995,0.77239,0.73765,0.82996,0.86941,0.0003236,0.0003236,0.0003236
129,1952.64,1.07424,1.05528,0.82185,0.99975,1,0.995,0.77239,0.73765,0.82996,0.86941,0.0003104,0.0003104,0.0003104
130,1967.67,0.99114,1.02833,0.8061,1,0.99757,0.995,0.76121,0.80681,0.85274,0.87082,0.0002972,0.0002972,0.0002972
131,1982.48,0.99031,1.04846,0.7976,1,0.99676,0.995,0.7563,0.83068,0.82872,0.87212,0.000284,0.000284,0.000284
132,1997.69,0.93406,0.96146,0.78415,1,0.99984,0.995,0.766,0.79767,0.79272,0.87189,0.0002708,0.0002708,0.0002708
133,2012.94,0.9941,1.05851,0.84937,1,0.99984,0.995,0.766,0.79767,0.79272,0.87189,0.0002576,0.0002576,0.0002576
134,2028.42,0.97072,0.96752,0.82095,0.99812,1,0.995,0.76413,0.74976,0.79232,0.87162,0.0002444,0.0002444,0.0002444
135,2043.23,1.06277,1.03009,0.80978,0.99812,1,0.995,0.76697,0.7367,0.80487,0.87148,0.0002312,0.0002312,0.0002312
136,2058.51,1.055,1.04762,0.84244,0.99827,1,0.995,0.77111,0.73292,0.81209,0.87138,0.000218,0.000218,0.000218
137,2073.48,0.8226,0.9155,0.816,0.99827,1,0.995,0.77111,0.73292,0.81209,0.87138,0.0002048,0.0002048,0.0002048
138,2088.03,1.14809,1.29082,0.82409,0.99821,1,0.995,0.7743,0.73459,0.80508,0.87103,0.0001916,0.0001916,0.0001916
139,2102.76,1.00404,1.16268,0.81347,0.99816,1,0.995,0.7748,0.73674,0.79582,0.87035,0.0001784,0.0001784,0.0001784
140,2117.61,1.00728,1.1211,0.84126,0.99816,1,0.995,0.77617,0.73523,0.79556,0.86885,0.0001652,0.0001652,0.0001652
141,2132.39,1.06172,0.9853,0.84767,0.99816,1,0.995,0.77617,0.73523,0.79556,0.86885,0.000152,0.000152,0.000152
142,2147.47,0.81595,0.89644,0.82824,0.99861,1,0.995,0.77634,0.73312,0.79671,0.86716,0.0001388,0.0001388,0.0001388
143,2162.51,0.8882,0.98176,0.83406,0.99943,1,0.995,0.77322,0.74152,0.79558,0.86616,0.0001256,0.0001256,0.0001256
144,2177.51,0.75735,0.86288,0.82718,0.99987,1,0.995,0.77061,0.75393,0.80773,0.86553,0.0001124,0.0001124,0.0001124
145,2191.91,0.88464,0.88882,0.83353,0.99987,1,0.995,0.77061,0.75393,0.80773,0.86553,9.92e-05,9.92e-05,9.92e-05
146,2206.87,0.94803,1.0299,0.79731,1,0.99904,0.995,0.77362,0.76111,0.80965,0.86549,8.6e-05,8.6e-05,8.6e-05
147,2221.7,0.81269,0.92122,0.81968,1,0.99866,0.995,0.76928,0.7668,0.80911,0.86537,7.28e-05,7.28e-05,7.28e-05
148,2236.53,0.91258,0.96087,0.81679,1,0.99858,0.995,0.77028,0.76152,0.80587,0.8653,5.96e-05,5.96e-05,5.96e-05
149,2251.53,0.85488,0.90255,0.85481,1,0.99858,0.995,0.77028,0.76152,0.80587,0.8653,4.64e-05,4.64e-05,4.64e-05
150,2266.11,0.76729,0.86014,0.78843,1,0.99813,0.995,0.77286,0.75801,0.80698,0.8653,3.32e-05,3.32e-05,3.32e-05
